Station,Latitude,Longitude,Depth
A1,39.560,15.720,18
A11,39.980,16.270,49
A13,40.970,16.570,47
A17,40.329,16.979,61
A6,41.560,16.180,18
A7,40.530,16.010,18
C4,39.950,14.980,9
C5,40.750,15.400,9
C6,41.620,15.680,9
C7,42.980,16.330,18
C8,43.960,16.400,18
F01,38.261,14.419,19
F02,45.418,16.364,19
F03,46.910,16.345,18
F04,35.672,16.125,60
F05,36.701,16.179,60
F06,37.850,16.416,60
F07,39.068,16.800,62
F08,40.329,16.979,63
F09,41.133,17.179,60
F10,42.325,17.440,60
F11,43.533,17.678,60
F12,44.795,18.124,61
F13,45.923,18.432,60
F14,46.894,18.685,59
F15,35.646,17.187,80
F16,36.710,17.404,80
F17,37.801,17.650,80
F18,38.986,17.900,80
F19,40.071,18.410,81
F20,41.125,18.658,80
F21,42.228,19.121,81
F22,43.364,19.254,80
F23,44.513,19.825,81
F24,45.673,20.187,81
F25,46.737,20.615,79
F26,35.626,18.732,98
F27,36.707,19.283,98
F28,37.757,19.423,99
F29,38.869,19.496,98
F30,39.940,19.490,96
F31,41.080,19.701,97
F32,42.085,20.050,99
F33,43.228,20.395,99
F34,44.334,20.962,99
F35,45.462,21.803,99
F36,46.607,22.474,98
I1,28.400,16.620,60
I10,31.000,9.360,19
I11,30.800,8.220,13
I12,31.970,10.980,28
I13,32.250,12.720,38
I14,32.580,11.040,28
I15,32.270,11.340,31
I16,32.270,10.980,28
I17,32.270,10.680,25
I18,32.170,9.660,19
I19,32.180,7.740,10
I2,28.400,11.940,32
I20,33.420,15.420,55
I21,33.640,13.620,41
I22,33.200,11.100,28
I23,33.050,9.900,21
I24,33.400,8.700,11
I25,33.670,8.880,9
I25,33.670,8.880,9
I26,34.470,8.820,9
I26,34.470,8.820,9
I27,34.450,11.460,28
I28,35.630,15.840,55
I29,35.670,13.380,38
I3,28.020,10.080,27
I30,35.720,11.820,28
I31,35.730,10.320,19
I32,35.680,8.280,10
I33,37.430,14.220,30
I34,37.800,12.960,19
I35,38.200,10.920,19
I36,38.350,9.240,11
I37,38.880,12.980,12
I38,40.130,11.200,11
I39,34.340,10.050,18
I39,34.340,10.050,18
I4,28.300,8.400,18
I40,33.230,8.170,10
I5,28.300,7.800,14
I6,29.610,9.780,26
I7,31.000,15.180,52
I8,31.000,12.120,36
I9,30.700,10.740,29
